id,session,category,office,name,url
1343716,2013,SENATE DISTRICTS,STATE SENATE 31,"ROTH, RICHARD D.",/Campaign/Candidates/Detail.aspx?session=2013&id=1343716
1226719,2013,SENATE DISTRICTS,STATE SENATE 32,"TORRES, NORMA",/Campaign/Candidates/Detail.aspx?session=2013&id=1226719
1304215,2013,SENATE DISTRICTS,STATE SENATE 33,"LARA, RICARDO",/Campaign/Candidates/Detail.aspx?session=2013&id=1304215
1004849,2013,SENATE DISTRICTS,STATE SENATE 34,"CORREA, LOU",/Campaign/Candidates/Detail.aspx?session=2013&id=1004849
1005448,2013,SENATE DISTRICTS,STATE SENATE 35,"WRIGHT, RODERICK ""ROD""",/Campaign/Candidates/Detail.aspx?session=2013&id=1005448
1004048,2013,SENATE DISTRICTS,STATE SENATE 36,"ANDERSON, JOEL C.",/Campaign/Candidates/Detail.aspx?session=2013&id=1004048
1251751,2013,SENATE DISTRICTS,STATE SENATE 37,"WALTERS, MIMI",/Campaign/Candidates/Detail.aspx?session=2013&id=1251751
1005714,2013,SENATE DISTRICTS,STATE SENATE 38,"WYLAND, MARK B.",/Campaign/Candidates/Detail.aspx?session=2013&id=1005714
1294014,2013,SENATE DISTRICTS,STATE SENATE 39,"BLOCK, MARTY J.",/Campaign/Candidates/Detail.aspx?session=2013&id=1294014
1315742,2013,SENATE DISTRICTS,STATE SENATE 40,"HUESO, BEN",/Campaign/Candidates/Detail.aspx?session=2013&id=1315742
1224716,2013,ASSEMBLY DISTRICTS,ASSEMBLY 01,"DAHLE, BRIAN",/Campaign/Candidates/Detail.aspx?session=2013&id=1224716
1005209,2013,ASSEMBLY DISTRICTS,ASSEMBLY 02,"CHESBRO, WESLEY",/Campaign/Candidates/Detail.aspx?session=2013&id=1005209
1292895,2013,ASSEMBLY DISTRICTS,ASSEMBLY 03,"LOGUE, DANIEL R.",/Campaign/Candidates/Detail.aspx?session=2013&id=1292895
1295701,2013,ASSEMBLY DISTRICTS,ASSEMBLY 04,"YAMADA, MARIKO M.",/Campaign/Candidates/Detail.aspx?session=2013&id=1295701
1342402,2013,ASSEMBLY DISTRICTS,ASSEMBLY 05,"BIGELOW, FRANK",/Campaign/Candidates/Detail.aspx?session=2013&id=1342402
1335196,2013,ASSEMBLY DISTRICTS,ASSEMBLY 06,"GAINES, BETH B.",/Campaign/Candidates/Detail.aspx?session=2013&id=1335196
